id,item1,item2,item3,item4,item5,item6,group
1,3,2,3,1,1,1,1
2,3,1,1,1,1,1,1
3,1,1,1,1,1,1,2
4,1,1,3,1,1,1,2
5,3,1,2,1,1,1,2
6,1,1,2,1,1,1,2
7,3,2,2,1,1,1,1
8,3,2,2,1,1,1,2
9,3,2,2,1,1,1,2
10,2,1,1,1,1,1,2
11,1,1,1,1,1,1,2
12,1,1,1,1,1,1,1
13,2,1,1,1,1,1,2
14,2,1,1,1,1,1,2
15,2,1,2,1,1,1,2
16,1,1,1,1,1,1,2
17,1,1,1,1,1,1,1
18,1,1,2,1,2,2,2
19,2,1,1,1,1,1,1
20,2,1,1,1,1,1,2
21,1,1,1,1,1,1,2
22,1,1,1,1,1,1,2
23,2,1,1,1,1,1,1
24,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1
26,3,1,2,1,1,1,1
27,3,1,2,1,1,1,1
28,1,1,1,1,1,1,2
29,3,2,2,1,1,1,1
30,3,1,1,1,1,1,1
31,1,1,1,1,1,1,1
32,1,1,1,1,1,1,2
33,2,1,1,1,1,1,1
34,1,1,1,2,1,1,2
35,2,1,1,1,1,1,2
36,2,1,1,1,1,1,2
37,1,1,2,1,1,1,1
38,2,1,2,3,1,3,1
39,3,1,1,1,1,1,2
40,1,1,1,1,1,1,2
41,1,1,1,1,1,1,2
42,1,1,1,1,1,1,1
43,1,1,2,1,3,3,1
44,2,1,3,1,1,1,1
45,1,1,1,1,1,1,2
46,1,1,1,1,1,1,2
47,2,1,1,1,1,1,1
48,2,1,1,1,1,1,1
49,2,1,1,1,1,1,1
50,3,1,2,1,1,1,1
51,2,1,1,1,1,1,2
52,1,1,1,1,1,1,1
53,1,1,1,1,1,1,2
54,1,1,1,1,1,1,2
55,1,1,1,1,1,1,2
56,1,1,1,1,1,1,1
57,1,1,1,1,1,1,2
58,1,1,1,1,1,1,2
59,2,1,2,1,1,1,1
60,2,2,1,1,1,1,2
61,2,1,1,1,1,1,1
62,1,1,2,1,1,1,1
63,1,1,2,1,1,1,1
